query,category,subcategory
"hw muchc watere 4 my lawn in sumer?",Yard guidance,Watering
"wen to put fertzr on lawn",Yard guidance,Fertilizer timing
"gras turning yelow hlp!!",Yard guidance,Spots or patches
"how 2 use dandylion dom",Sunday products,Instructions
"need 2 pauze subscrpton for 6 mnths",Subscription,Pause
"pls cancle my plan nw",Cancel,Cancel
"hey sunnie how r u",Other,Greeting
"wen 2 plant gras seed in virgina",Yard guidance,Seeding
"how 2 arate my lwan",Yard guidance,Aerification
"cutt gras aftr fertilize??",Yard guidance,Mowing
"sprayere brokn not wrking",Sunday products,Sprayer
"wat in nexts yrs plannn?",Subscription,Renewal
"CRABGRAS EVERYWERE how 2 kill??",Yard guidance,Weed control
"do i water after weeed warrer",Sunday products,Instructions
"where soil test reslt??? sent 3 wks ago",Sunday products,Soil test
"how 2 prep lawn 4 winnter",Yard guidance,Seasonal changes
"is produckt ok 4 my dgggo?",Sunday products,Safety
"want refnd 4 product didnt work",Subscription,Refunds or credits
"need 2 tlk 2 persn",Other,Customer service agent
"lawn sz wrong fix plz",Subscription,Lawn size
"dandelins all ovr need hlp now",Yard guidance,Weed control
"hw tall cut tal fescue",Yard guidance,Mowing
"wats comng in nxt box",Subscription,Next shipment
"what kinda grass i hve?",Yard guidance,Grass types
"product turn solid in bag wat do",Sunday products,Product solidified
"moovng need new adres",Other,Moving
"new seed watr how much???",Yard guidance,Seeding
"can i use old frtilzer frm last yr",Sunday products,Longevity
"box msing itms help",Subscription,Missing order or item
"lawn stil brown aftr product WHY????",Sunday products,No improvement
"grbs in yard killin grass help fast",Yard guidance,Insects
"hi pls tell best grass 4 shade area",Yard guidance,Grass types
"wnt more weedkillr in my plan",Subscription,Modifying plan
"u guyz hav sales now??",Subscription,Discounts and transactions
"how 2 fix dog pee damge in gras",Yard guidance,Dog urine spots
"insructions 4 cor seagren misng",Sunday products,Instructions
"when 2 do core aration?",Yard guidance,Aerification
"soil 2 hard cant dig hlp",Yard guidance,Soil problems
"CANCEL NOW PLZ",Cancel,Cancel
"can i put fertilzer b4 rain?",Yard guidance,Fertilizer timing
"mushrum in lawn bad?? how remove",Yard guidance,Disease
"said delivrd but no packge???",Subscription,Missing order or item
"how grow tomaetos in bakyard",Yard guidance,Garden plant care
"no rain 4 weeks how much watr lawn",Yard guidance,Watering
"misd sprng tratment wat do now??",Sunday products,Missed applications
"where trackng # 4 ordr??",Subscription,Next shipment
"wat u hav 4 killing weeds",Sunday products,Product assortment
"how 2 do soil test thing??",Sunday products,Soil test
"skeeters all over yard help",Yard guidance,Yard pests
"mols diging up lawn so mad",Yard guidance,Vertebrate pests
"cant checkout websit broke",Subscription,Discounts and transactions
"wen kids can play on lawn aftr spray??",Sunday products,Safety
"crabgras coming bak evry yr help",Yard guidance,Weed control
"bare spots in lawn how fix fast",Yard guidance,Spots or patches
"need human not robot!!1!",Other,Customer service agent
"brown patch disese?? wat product use",Yard guidance,Disease
"shipment wen coming??",Subscription,Next shipment
"best tim 2 mow lawn??",Yard guidance,Mowing
"how big area weed warior covers",Sunday products,Instructions
"grass al thin and dieing help!!",Yard guidance,Spots or patches
"didnt apply on schdule now wat??",Sunday products,Missed applications
"CANCL NOW B4 NEXT BILL",Cancel,Cancel
"lawn bumpy uneven fix how??",Yard guidance,Soil problems
"seegreen safe 4 my cat n dog?",Sunday products,Safety
"wat products coming in spring box??",Subscription,Next shipment
"red ants in yard biting kids help!!",Yard guidance,Yard pests
