query,category,subcategory
"how much should I water my lawn in july?",Yard guidance,Watering
"when is best time to fertlize my lawn",Yard guidance,Fertilizer timing
"my grass has yellow patches what do i do",Yard guidance,Spots or patches
"how to use dandelion doom?",Sunday products,Instructions
"need to pause my subscription for 3 months",Subscription,Pause
"can you help me cancel my plan please",Cancel,Cancel
"hi sunny how are you today",Other,Greeting
"best time to seed my lawn in pennsylvania",Yard guidance,Seeding
"how do i aerate my lawn",Yard guidance,Aerification
"when should I mow after applying fertilizer",Yard guidance,Mowing
"my sprayer isnt working properly",Sunday products,Sprayer
"what's included in next years plan?",Subscription,Renewal
"how to get rid of crabgrass in my yard",Yard guidance,Weed control
"do i need to water after applying weed warrior",Sunday products,Instructions
"missing my soil test results, when will they be ready?",Sunday products,Soil test
"what should i do to prepare lawn for winter",Yard guidance,Seasonal changes
"is it safe for my dog to walk on lawn after treatment",Sunday products,Safety
"can I get a refund for unused product",Subscription,Refunds or credits
"how to contact customer service",Other,Customer service agent
"my lawn size is wrong on my acct",Subscription,Lawn size
"dandelions all over my yard help!",Yard guidance,Weed control
"how tall should I cut my fescue",Yard guidance,Mowing
"what's in my next shipment",Subscription,Next shipment
"how to identify grass type in my lawn",Yard guidance,Grass types
"what should i do with the solidified product",Sunday products,Product solidified
"moving to new house need to update address",Other,Moving
"how often shud I water new grass seed",Yard guidance,Seeding
"can i use last years fertilizer",Sunday products,Longevity
"missing item in my box",Subscription,Missing order or item
"lawn has brown spots after using product",Sunday products,No improvement
"how to deal with grubs in yard",Yard guidance,Insects
"hello can you recommend best grass for shade",Yard guidance,Grass types
"need to add weed control to my plan",Subscription,Modifying plan
"do you have any promotions right now",Subscription,Discounts and transactions
"how to fix dog pee spots in lawn",Yard guidance,Dog urine spots
"how to apply core seagreen",Sunday products,Instructions
"when should i aerify my lawn",Yard guidance,Aerification
"how do i fix compacted soil in backyard",Yard guidance,Soil problems
"want to cancell my subscription",Cancel,Cancel
"is it ok to fertilize before rain",Yard guidance,Fertilizer timing
"how to get rid of mushrooms in lawn",Yard guidance,Disease
"my shipment says delivered but I dont have it",Subscription,Missing order or item
"how to grow tomatoes in my garden",Yard guidance,Garden plant care
"how often should i water during drought",Yard guidance,Watering
"missed my spring application what shuld i do",Sunday products,Missed applications
"need tracking # for my order",Subscription,Next shipment
"what products do you offer for weeds",Sunday products,Product assortment
"how to get soil sample",Sunday products,Soil test
"keep getting mosquitos in my yard",Yard guidance,Yard pests
"moles ruining my lawn what can I do",Yard guidance,Vertebrate pests
"can you help me with checkout problem",Subscription,Discounts and transactions
"when can kids play on lawn after applying products",Sunday products,Safety
"how to stop crabgrass from coming back",Yard guidance,Weed control
"best way to fix bare spots",Yard guidance,Spots or patches
"i want to talk to a real person",Other,Customer service agent
"I see brown patch disease what should I use",Yard guidance,Disease
"when will my order ship",Subscription,Next shipment
"best time to mow lawn",Yard guidance,Mowing
"whats the coverage area for weed warrior",Sunday products,Instructions
"my grass is thinning what should i do",Yard guidance,Spots or patches
"i missed application window, what now?",Sunday products,Missed applications
"need to cancel before next billing",Cancel,Cancel
"lawn has bumpy uneven surface",Yard guidance,Soil problems
"is seagreen safe for pets?",Sunday products,Safety
"what products are coming in spring?",Subscription,Next shipment
"how to handle ants in my yard",Yard guidance,Yard pests
"how much should I water bermuda grass",Yard guidance,Watering
"my lawn is full of weeds help!!!",Yard guidance,Weed control
"what to do about chinch bugs",Yard guidance,Insects
"can i get a discount for next year",Subscription,Discounts and transactions
"good morning, need help with my lawn",Other,Greeting
"how do I update my payment info",Subscription,Discounts and transactions
"best time to seed a new lawn",Yard guidance,Seeding
"got wrong product in my shipment",Subscription,Missing order or item
"help with soil drainage issues",Yard guidance,Soil problems
"no improvement after 3 months of use",Sunday products,No improvement
"should I water more in summer?",Yard guidance,Watering
"when do I apply fall fertilizer?",Yard guidance,Fertilizer timing
"how to grow healthy vegetables",Yard guidance,Garden plant care
"deer eating my plants, what to do?",Yard guidance,Vertebrate pests
"how to apply grass seed correctly",Yard guidance,Seeding
"product has sediment at bottom of pouch",Sunday products,Product solidified
"can I use your products with scottts",Sunday products,Instructions
"what should I do with missed treatment",Sunday products,Missed applications
"how to cancle my subscription plan",Cancel,Cancel
"how to apply weed warrior and grass seed together",Sunday products,Instructions
"is it ok to store unused fertilizer til next year",Sunday products,Longevity
"lawn still has weeds after treatment",Sunday products,No improvement
"how to identify lawn disease",Yard guidance,Disease
"whats the best mowing height",Yard guidance,Mowing
"why is my soil so hard",Yard guidance,Soil problems
"hi sunny need help with my lawn",Other,Greeting
"what do you recommend for bermuda grass",Yard guidance,Grass types
"how do i fix my order thats wrong",Subscription,Missing order or item
"when will my credit card be charged",Subscription,Renewal
"when to apply preemergent for crabgrass",Yard guidance,Weed control
"what to do about moles in yard",Yard guidance,Vertebrate pests
"is there a promo code for renewing",Subscription,Discounts and transactions
"my lawn has patches of different grass",Yard guidance,Grass types
"can I water right after mowing",Yard guidance,Watering
"how do i test my soil ph",Sunday products,Soil test
"what time of day is best to water lawn",Yard guidance,Watering
"how to solve hard compact soil",Yard guidance,Soil problems
"help me cancel my plan",Cancel,Cancel
"how to fix patchy grass in backyard",Yard guidance,Spots or patches
"whats in my next box shipping",Subscription,Next shipment
"how to set up sprayer for weed warrior",Sunday products,Instructions
"best fertilizer for sandy soil",Yard guidance,Soil problems
"my grass is turning brown in summer",Yard guidance,Spots or patches
"how to keep dandelions from coming back",Yard guidance,Weed control
"help with grubs in my lawn",Yard guidance,Insects
"when can I reseed thin spots",Yard guidance,Seeding
"my box is missing a product",Subscription,Missing order or item
"should I water lawn every day",Yard guidance,Watering
"how to aerate compacted soil",Yard guidance,Aerification
"missed my summer application",Sunday products,Missed applications
"how do I change my shipping address",Other,Moving
"can you reccomend best lawn care products",Sunday products,Product assortment
"what is the best height to cut my grass",Yard guidance,Mowing
"worried about product safety for kids",Sunday products,Safety
"what to do about mushrooms after rain",Yard guidance,Disease
"when is my next delivery scheduled",Subscription,Next shipment
"not seeing results from fertilizer",Sunday products,No improvement
"want to add mosquito control to my plan",Subscription,Modifying plan
"best grass seed for front yard shade",Yard guidance,Grass types
"how to stop my dog from killing grass",Yard guidance,Dog urine spots
"how often should i aerate my lawn",Yard guidance,Aerification
"what to do in march for my lawn",Yard guidance,Seasonal changes
"when to use core endurence product",Sunday products,Instructions
"can i get a refund if product doesnt work",Subscription,Refunds or credits
"need to talk to someone about my plan",Other,Customer service agent
"when to water after applying seed",Yard guidance,Seeding
"how to use my weed control spray",Sunday products,Instructions
"lawn is patchy after using products",Sunday products,No improvement
"best time to cut grass in summer",Yard guidance,Mowing
"invoice shows wrong lawn size",Subscription,Lawn size
"problems with checkout on website",Subscription,Discounts and transactions
"can i save my fertlizer for next year",Sunday products,Longevity
"what to do about ant hills in yard",Yard guidance,Yard pests
"rabbits eating my garden what to do",Yard guidance,Vertebrate pests
"I need to change my plan",Subscription,Modifying plan
"how to get rid of grassy weeds",Yard guidance,Weed control
"lawn mower height for zoysia",Yard guidance,Mowing
"when is too late to seed in fall",Yard guidance,Seeding
"how do I apply fall fortify",Sunday products,Instructions
"can I get a discount if I renew early",Subscription,Discounts and transactions
"best time to areate lawn",Yard guidance,Aerification
"how to identify what kind of grass I have",Yard guidance,Grass types
"is your product safe for bees",Sunday products,Safety
"help how to fix dead spots in lawn",Yard guidance,Spots or patches
"what is in my nextt shipment",Subscription,Next shipment
"is this good time to fertilize",Yard guidance,Fertilizer timing
"how to get lawn green in spring",Yard guidance,Seasonal changes
"im getting ticks in my yard help",Yard guidance,Yard pests
"I want to upgrade my plan",Subscription,Modifying plan
"when will I recieve my next box",Subscription,Next shipment
"how much water for new sod",Yard guidance,Watering
"need to stop shipment for a while",Subscription,Pause
"help with lawn fungus spots",Yard guidance,Disease
"how to fix thin grass in shade",Yard guidance,Spots or patches
"how to get rid of moles in lawn",Yard guidance,Vertebrate pests
"when to mow new grass seedlings",Yard guidance,Mowing
"what happens if I cancel my plan",Cancel,Cancel
"I mised my spring application",Sunday products,Missed applications
"why is dirt showing through grass",Yard guidance,Spots or patches
"how to solve lawn drainage problem",Yard guidance,Soil problems
"is it safe to use your products with kids around",Sunday products,Safety
